Wins,NetRtg,DRtg,ORtgSOS Rank,Losses,Conf,Team_Name,Winner
37,36.43,91.1,11,3,0,0,1.0
32,31.17,87.7,37,5,1,1,0.3333333333333333
34,30.62,94.6,3,5,2,2,0.8333333333333334
27,27.99,92.4,38,8,3,3,0.0
27,26.61,90.2,2,9,3,4,0.5
27,26.55,93.7,33,9,4,5,0.3333333333333333
27,26.47,95.2,59,9,5,6,0.5
29,26.47,87.5,56,8,1,7,0.3333333333333333
29,26.19,93.5,22,8,5,8,0.3333333333333333
29,24.53,101.0,40,9,2,9,0.5
25,24.22,96.7,31,10,0,10,0.3333333333333333
27,23.17,99.4,95,8,6,11,0.3333333333333333
27,23.02,95.2,7,10,0,12,0.3333333333333333
25,22.96,103.0,1,12,3,13,0.6666666666666666
24,21.9,100.5,28,11,1,14,0.16666666666666666
20,20.58,93.7,5,15,2,15,0.16666666666666666
22,20.06,99.2,9,14,2,16,0.0
23,19.96,99.9,84,11,1,17,0.0
24,19.44,98.3,6,12,5,18,0.5
26,19.43,95.0,103,8,6,19,0.0
26,19.36,94.0,16,11,7,20,0.3333333333333333
23,19.29,102.9,48,10,3,21,0.0
26,19.03,99.3,65,11,4,22,0.16666666666666666
21,18.77,97.7,51,13,1,23,0.16666666666666666
24,18.19,101.8,25,12,3,24,0.0
23,17.94,95.6,13,11,1,25,0.16666666666666666
26,17.8,96.6,83,10,7,26,0.0
23,17.55,98.7,64,11,2,27,0.0
23,17.32,100.1,58,11,1,28,0.0
25,17.3,100.4,94,8,8,29,0.16666666666666666
21,17.07,95.9,20,14,3,30,0.0
21,17.02,100.5,14,15,3,31,0.16666666666666666
25,17.02,97.0,36,11,7,32,0.0
26,16.41,98.6,89,8,7,33,0.0
22,16.41,99.5,29,12,2,34,0.16666666666666666
25,16.33,96.9,81,10,4,35,0.16666666666666666
21,16.04,98.7,74,13,1,36,0.0
22,15.97,97.4,61,11,7,37,0.0
26,15.9,98.4,35,15,5,38,0.6666666666666666
25,15.74,102.1,91,9,9,39,0.0
28,14.89,101.1,88,7,7,40,0.16666666666666666
30,14.84,98.1,217,5,10,41,0.16666666666666666
28,14.53,100.5,109,7,11,42,0.0
26,14.4,100.5,76,8,3,43,0.0
24,14.19,100.5,53,12,4,44,0.16666666666666666
32,12.42,100.6,276,4,12,45,0.16666666666666666
30,11.8,101.5,314,4,13,46,0.0
23,11.8,93.3,47,11,5,47,0.0
29,10.03,103.6,259,6,14,48,0.0
25,9.19,98.0,90,12,8,49,0.16666666666666666
23,9.07,101.8,100,10,15,50,0.16666666666666666
27,7.52,106.4,185,8,16,51,0.0
28,6.61,99.9,254,7,17,52,0.0
23,6.49,107.2,97,12,9,53,0.0
26,5.15,104.0,289,9,18,54,0.0
24,4.58,102.2,192,11,19,55,0.0
24,3.73,105.6,122,12,20,56,0.16666666666666666
22,2.9,102.5,279,12,21,57,0.0
22,2.69,106.1,196,13,22,58,0.0
25,1.5,103.3,318,10,23,59,0.0
21,0.35,105.2,252,14,24,60,0.0
21,-0.25,107.5,225,15,25,61,0.0
19,-3.03,101.4,306,14,26,62,0.0
22,-4.51,114.3,193,13,27,63,0.0
17,-4.65,108.2,231,18,28,64,0.0
21,-7.09,107.2,331,15,29,65,0.0
18,-8.38,113.9,349,17,30,66,0.0
17,-10.0,106.4,348,16,31,67,0.0
31,29.86,90.9,29,8,0,0,1.0
33,27.72,90.4,95,4,9,1,0.3333333333333333
31,27.29,88.0,38,6,4,68,0.3333333333333333
31,27.28,88.2,16,6,3,13,0.3333333333333333
29,24.43,92.1,3,9,1,23,0.5
25,23.8,87.5,40,11,3,4,0.3333333333333333
29,23.24,94.5,20,6,2,2,0.0
31,23.02,99.3,17,6,6,11,0.5
28,22.85,91.8,5,8,1,25,0.16666666666666666
29,22.38,96.7,32,7,0,12,0.16666666666666666
28,21.9,96.3,85,7,4,5,0.0
24,21.83,93.2,4,13,0,10,0.5
27,21.24,91.4,28,8,6,19,0.16666666666666666
32,20.34,90.4,10,7,7,20,0.8333333333333334
27,19.95,98.6,13,10,0,69,0.3333333333333333
23,19.68,101.6,11,11,1,14,0.16666666666666666
35,19.38,95.7,109,4,21,39,0.6666666666666666
27,19.35,93.9,27,9,5,6,0.16666666666666666
19,18.82,98.1,8,15,1,70,0.0
26,18.53,96.1,64,9,9,71,0.0
26,18.51,95.0,39,10,1,72,0.5
22,18.05,94.0,25,14,3,73,0.3333333333333333
22,17.99,95.6,34,13,2,74,0.16666666666666666
29,17.94,101.2,46,8,5,75,0.6666666666666666
22,17.78,94.3,24,13,1,36,0.16666666666666666
21,17.61,96.6,1,13,2,15,0.3333333333333333
22,17.4,98.8,44,12,3,21,0.16666666666666666
26,17.39,98.9,59,9,7,40,0.0
19,17.04,91.0,2,14,1,7,0.0
23,17.03,97.2,7,12,2,76,0.16666666666666666
21,16.77,95.7,35,13,3,3,0.16666666666666666
25,16.71,97.0,60,10,3,31,0.0
25,16.37,94.5,57,8,5,47,0.0
20,16.22,94.9,43,13,2,9,0.0
23,16.04,101.1,33,14,2,77,0.16666666666666666
24,15.85,95.1,47,10,7,37,0.0
22,15.59,94.3,37,12,2,34,0.16666666666666666
21,15.39,100.8,53,12,0,78,0.0
19,15.39,104.6,45,14,2,79,0.0
22,14.85,97.5,93,11,4,80,0.0
23,13.55,100.0,54,11,5,38,0.0
21,13.49,91.4,70,13,3,30,0.0
23,13.26,95.8,56,13,4,81,0.0
25,13.07,105.3,80,10,3,82,0.16666666666666666
24,12.86,101.3,66,12,5,83,0.16666666666666666
27,12.84,93.8,151,8,8,84,0.0
22,12.74,99.1,50,11,7,33,0.0
27,11.9,96.5,205,8,11,42,0.0
31,11.85,98.7,288,4,16,51,0.0
30,11.65,102.2,218,5,22,85,0.0
27,11.35,99.4,277,8,26,86,0.0
28,11.2,96.5,113,7,19,87,0.0
26,8.51,102.9,201,8,12,88,0.0
23,8.04,101.5,168,9,15,89,0.3333333333333333
28,8.01,105.5,206,8,14,90,0.16666666666666666
24,5.88,106.1,158,12,10,41,0.0
27,5.68,104.6,271,8,25,91,0.0
25,5.49,99.6,117,10,28,64,0.0
23,5.33,104.2,233,11,17,52,0.0
26,5.24,107.5,331,9,23,59,0.0
26,4.04,101.8,138,9,27,92,0.0
27,1.22,102.7,270,8,24,93,0.0
22,0.65,102.2,183,13,20,94,0.0
24,-0.48,107.6,327,11,13,95,0.0
22,-3.38,106.9,317,13,30,66,0.0
19,-7.21,107.7,320,17,18,96,0.0
